Date;Nationality;Sex;Age;Population
1971-12-31;Foreigners;Male;9 years;17119
1971-12-31;Foreigners;Male;10 years;15913
1971-12-31;Foreigners;Male;11 years;16092
1971-12-31;Foreigners;Male;12 years;14968
1971-12-31;Foreigners;Male;13 years;14086
1971-12-31;Foreigners;Male;14 years;14085
1971-12-31;Foreigners;Male;15 years;17581
1971-12-31;Foreigners;Male;16 years;19092
1971-12-31;Foreigners;Male;17 years;20451
1971-12-31;Foreigners;Male;18 years;24612
1971-12-31;Foreigners;Male;19 years;30558
1971-12-31;Foreigners;Male;20 years;28396
1971-12-31;Foreigners;Male;21 years;36937
1971-12-31;Foreigners;Male;22 years;47004
1971-12-31;Foreigners;Male;23 years;55844
1971-12-31;Foreigners;Male;24 years;63962
1971-12-31;Foreigners;Male;25 years;65769
1971-12-31;Foreigners;Male;26 years;63303
1971-12-31;Foreigners;Male;27 years;61734
1971-12-31;Foreigners;Male;28 years;60248
1971-12-31;Foreigners;Male;29 years;66890
1971-12-31;Foreigners;Male;30 years;66061
1971-12-31;Foreigners;Male;31 years;75948
1971-12-31;Foreigners;Male;32 years;69499
1971-12-31;Foreigners;Male;33 years;66174
1971-12-31;Foreigners;Male;34 years;61359
1971-12-31;Foreigners;Male;35 years;58475
1971-12-31;Foreigners;Male;36 years;51491
1971-12-31;Foreigners;Male;37 years;51881
1971-12-31;Foreigners;Male;38 years;49106
1971-12-31;Foreigners;Male;39 years;42260
1971-12-31;Foreigners;Male;40 years;36882
1971-12-31;Foreigners;Male;41 years;36127
1971-12-31;Foreigners;Male;42 years;29991
1971-12-31;Foreigners;Male;43 years;27513
1971-12-31;Foreigners;Male;44 years;24753
1971-12-31;Foreigners;Male;45 years;23372
1971-12-31;Foreigners;Male;46 years;20185
1971-12-31;Foreigners;Male;47 years;18323
1971-12-31;Foreigners;Male;48 years;16719
1971-12-31;Foreigners;Male;49 years;15283
1971-12-31;Foreigners;Male;50 years;13441
1971-12-31;Foreigners;Male;51 years;12831
1971-12-31;Foreigners;Male;52 years;9272
1971-12-31;Foreigners;Male;53 years;6729
1971-12-31;Foreigners;Male;54 years;6055
1971-12-31;Foreigners;Male;55 years;6364
1971-12-31;Foreigners;Male;56 years;6865
1971-12-31;Foreigners;Male;57 years;6918
1971-12-31;Foreigners;Male;58 years;6130
1971-12-31;Foreigners;Male;59 years;6012
1971-12-31;Foreigners;Male;60 years;5041
1971-12-31;Foreigners;Male;61 years;4663
1971-12-31;Foreigners;Male;62 years;4078
1971-12-31;Foreigners;Male;63 years;3584
1971-12-31;Foreigners;Male;64 years;3116
1971-12-31;Foreigners;Male;65 years;2828
1971-12-31;Foreigners;Male;66 years;2448
1971-12-31;Foreigners;Male;67 years;2178
1971-12-31;Foreigners;Male;68 years;2096
1971-12-31;Foreigners;Male;69 years;1904
1971-12-31;Foreigners;Male;70 years;1696
1971-12-31;Foreigners;Male;71 years;1570
1971-12-31;Foreigners;Male;72 years;1354
1971-12-31;Foreigners;Male;73 years;1222
1971-12-31;Foreigners;Male;74 years;1087
1971-12-31;Foreigners;Male;75 years;926
1971-12-31;Foreigners;Male;76 years;835
1971-12-31;Foreigners;Male;77 years;766
1971-12-31;Foreigners;Male;78 years;702
1971-12-31;Foreigners;Male;79 years;577
1971-12-31;Foreigners;Male;80 years;489
1971-12-31;Foreigners;Male;81 years;445
1971-12-31;Foreigners;Male;82 years;422
1971-12-31;Foreigners;Male;83 years;355
1971-12-31;Foreigners;Male;84 years;285
1971-12-31;Foreigners;Male;85 years and over;1170
1971-12-31;Foreigners;Male;Total;1961982
1971-12-31;Foreigners;Female;under 1 year;38448
1971-12-31;Foreigners;Female;1 year;28887
1971-12-31;Foreigners;Female;2 years;24657
1971-12-31;Foreigners;Female;3 years;24734
1971-12-31;Foreigners;Female;4 years;24421
1971-12-31;Foreigners;Female;5 years;22822
1971-12-31;Foreigners;Female;6 years;21317
1971-12-31;Foreigners;Female;7 years;19572
1971-12-31;Foreigners;Female;8 years;17291
1971-12-31;Foreigners;Female;9 years;15988
1971-12-31;Foreigners;Female;10 years;14882
1971-12-31;Foreigners;Female;11 years;15469
1971-12-31;Foreigners;Female;12 years;14227
1971-12-31;Foreigners;Female;13 years;13440
1971-12-31;Foreigners;Female;14 years;13487
1971-12-31;Foreigners;Female;15 years;14114
1971-12-31;Foreigners;Female;16 years;15486
1971-12-31;Foreigners;Female;17 years;18854
1971-12-31;Foreigners;Female;18 years;22967
1971-12-31;Foreigners;Female;19 years;32165
1971-12-31;Foreigners;Female;20 years;36614
1971-12-31;Foreigners;Female;21 years;42941
1971-12-31;Foreigners;Female;22 years;42845
1971-12-31;Foreigners;Female;23 years;43636
1971-12-31;Foreigners;Female;24 years;42383
